,formula
1772,"k _ { \mu } : = \partial _ { \nu } { } ^ { * } f _ { \mu \nu } \not = 0 ,"
1773,p _ { d } ( q ) =
1774,"F ( N _ { 1 } ( n , r ) - i , N _ { 2 } ( n , r ) - j , n r ) F ( i , j , n , r ) = 1"
1775,"{ \frac { \partial { \cal L } _ { 1 } } { \partial \chi ^ { a } } } = 0 \, \, ,"
1776,"0 \leq \eta \leq \eta _ { 0 } \, , \, \, \vartheta \geq 0"
1777,\begin{array} { l l l } \end{array}
1778,"- M _ { 1 } \tilde { E } _ { \mathrm { m } } E _ { \mathrm { m } } + m _ { 0 } = 0 ,"
1779,"E _ { a } ^ { \, \, \alpha } = \eta _ { a b } g ^ { \alpha \beta } e _ { \, \, \beta } ^ { b } ,"
1780,\alpha ^ { \prime } = { \frac { 8 \lambda G _ { N } } { \alpha _ { G U T } ^ { 2 } } } .
1781,"i \gamma ^ { \mu } \partial _ { \mu } \psi = m \psi \; \; ,"
1782,"\Psi ( x ) \longrightarrow e ^ { i \Lambda } \, \Psi ( x ) \, ,"
1783,"M _ { G U T } ^ { ( i ) } = M 5 _ { G U T } ^ { ( i ) } e ^ { - \sigma ( y _ { i } ) } ~ . ~ \,"
1784,"\lambda ( x , y , \tau ) = R ^ { - 1 } \Lambda ( x , y , \tau ) R ."
1785,K = \epsilon ^ { i k } \epsilon ^ { j l } K _ { i j } K _ { k l } \ .
1786,I _ { 3 } = - { \frac { 1 6 } { 3 } } + { \frac { 3 2 } { 3 } } \operatorname { l n } 2
1787,"\Delta = C z ^ { 6 } \prod _ { i = 1 } ^ { 1 8 } \{ z + h _ { i } ( z ^ { \prime } ) \} \, ."
1788,S = ( - \beta \partial _ { \beta } + 1 ) \operatorname { l n } Z ( \beta )
1789,"[ a _ { i j n } , a _ { r s n } ^ { \prime } ] = 1 , \quad 1 \le i < j < r < s \le n - 1 ."
1790,"\int F _ { \theta \varphi } \, d \theta d \varphi = 2 \pi m"
1791,H ^ { \prime } = T _ { 0 } ^ { t } H T _ { 0 }
1792,C _ { \ \beta } ^ { \alpha } = \pm C O _ { \ \beta } ^ { \alpha } \label R
1793,\mathbf { 1 } ^ { \otimes 5 } \oplus \mathbf { 2 } ^ { \otimes 4 } \oplus \mathbf { 3 } .
1794,"F ( q , q , . . . , q ) / 2 N = \alpha ( q )"
1795,V _ { r * \to \infty } \simeq 2 \operatorname { e x p } ( - 2 \sqrt 2 r ^ { * } ) .
1796,"\eta ^ { p _ { 0 } } = 0 \; \; \; ; \; \; \; \eta ^ { p } \neq 0 \; , p < p _ { 0 }"
1797,\phi = e ^ { \frac { 1 } { 2 } h + i \chi } .
1798,"Z \rightarrow Z + { \delta S } ^ { T } Z + Z \delta S ,"
1799,"\hat { \nabla } _ { \mu } \Psi = - \Psi \hat { \partial } _ { \mu } + \hat { D } _ { \mu } \Psi ,"
1800,"1 - \lambda \omega ^ { 2 } \beta ( \rho _ { 0 } ) = 0 \, ,"
1801,s ^ { 2 } \equiv ( s _ { 1 } + s _ { 2 } ) ^ { 2 } = 0
1802,{ \cal F } _ { i j } = F _ { i j } - B _ { i j } \ .
1803,"J ( Z ) = \theta ^ { ( 3 ) } \Phi \quad ,"
1804,"\frac { 1 } { 4 \pi } \int d ^ { 2 } \Omega K ^ { \alpha } = V ^ { \alpha } ,"
1805,"< \mu \, , \, [ X , V _ { Z } ] > \, = \, < L \, , \, [ \, Z , D _ { Q } ( X ) \, ] >"
1806,\dot { x } ^ { 2 } \acute { x } ^ { 2 } - ( \dot { x } \acute { x } ) ^ { 2 } = 0 .
1807,"P _ { \mu } ^ { \; \nu } \; A _ { \nu } = 0 ,"
1808,"a ^ { \prime } = { \frac { 2 } { \pi i a ( \hat { \tau } - \tau ) } } ,"
1809,"\left[ \nabla _ { z _ { \alpha } } , \nabla _ { z _ { \beta } } \right] = 0"
1810,"( f \star _ { \mathrm { p o i n t } } g ) ( x ) : = f ( x ) g ( x ) \, ."
1811,"b - 2 a = 3 , \quad \lambda = \frac { 3 } { 2 } ."
1812,"Y \biggl | _ { \mathrm { i } ^ { + } } = Y ( \gamma , r \to \infty ) \quad ."
1813,\Delta \gamma + ( { \partial } _ { a } \gamma ) ( { \partial } ^ { a } { \gamma } ) + M ^ { 2 } = 0
1814,"\hat { O } ^ { L } \cdot \hat { O } ^ { L } = [ \hat { O } ^ { L } ] ~ + ~ [ I ] ~ + . . . ~ ,"
1815,"H \left( { \cal C } ^ { 1 } \right) = S U ( 3 ) \times U ( 1 ) _ { R } \times U ( 1 ) _ { B , 1 }"
1816,"c _ { g h } \equiv c _ { g h } ^ { 2 } = - 2 ( N - 1 ) ( 2 N ^ { 2 } + 2 N + 1 ) \, ."
1817,"F _ { \mu \nu } ^ { p } \ = \ ( 1 { - } P _ { 0 } ) \, F _ { \mu \nu } \, ( 1 { - } P _ { 0 } )"
1818,g _ { \mu \nu } = y ^ { - 2 } \delta _ { \mu \nu } .
1819,Z ( g ) = \sum _ { n = 0 } ^ { \infty } z _ { n } g ^ { n } \ .
1820,"Z = \sum e ^ { - \beta \sum n _ { i } ( \epsilon _ { i } - \mu ) } ,"
1821,\lambda _ { a } ^ { + } = 4 \omega ( N + 2 ) \qquad \lambda _ { b } ^ { + } = 0
1822,"c _ { 1 } ( B ) ^ { 2 } = 0 , \qquad c _ { 2 } ( B ) \neq 0 ."
1823,\sum _ { n = 1 } ^ { \infty } B _ { n } = \mathbf { R } \quad .
1824,\delta = \delta _ { 2 } D ^ { 2 } + \delta _ { 1 } D + \delta _ { 0 } .
1825,"k = 1 \ , \ n = N + 1 \ , \ a _ { \alpha } = e ^ { - i c _ { \alpha } T } \ ,"
1826,"{ \bf 5 6 } \to ( { \bf 2 } , { \bf 1 2 } ) + ( { \bf 1 } , { \bf 3 2 } )"
1827,"\phi \chi + \eta _ { \mu \nu } X ^ { \mu } X ^ { \nu } = - R ^ { 2 } ,"
1828,\frac { 8 \pi ^ { 2 } } { g ^ { 2 } } \ \sim \ - \operatorname { l o g } \frac { \mu } \Lambda \ .
1829,"\theta _ { c } = 1 2 / \sqrt { \varepsilon } ,"
1830,\frac { \gamma + 2 \beta } { \alpha - \beta } = \frac { m } { M } .
1831,"E _ { o p t } \simeq 0 . 4 2 0 9 5 - 0 . 0 0 0 9 8 \, \mathrm { i } \, ."
1832,"F _ { a } ^ { \prime } \ = \ T _ { a } ^ { \prime } \ \ F _ { a } ,"
1833,"\int \, [ d X ] \, \, = \, \, \int \, d ^ { D } x \, \int [ d \eta ] ."
1834,"\Theta ^ { ( 1 , 1 ) } = \sum _ { i j } ( d _ { s } a _ { i j } ) p _ { i } d _ { f } p _ { j } ."
1835,"a ( K _ { + } , K _ { - } ) = - a ( L _ { + } , L _ { - } ) = - 2 \beta V Y ( m , \mu )"
1836,"\theta _ { \mathrm { Y M } } ~ \to ~ \theta _ { Y M } - 4 N \, \varepsilon ~ ~ ."
1837,"d \alpha _ { L } = \omega _ { L } , \; \; \; \; \; \; \; \; d \alpha _ { R } = \omega _ { R } ."
1838,"m \: \ddot { x } _ { i } = F _ { i } ( x , \dot { x } , t ) ."
1839,c \left( \begin{array} { l } { X } \\ { I } \\ \end{array} \right) = \pm 1
1840,\delta \tilde { \omega } _ { a b } = \partial _ { i } n _ { a b } ^ { i } .
1841,"\left[ \varphi _ { I } ( \xi ) , \; \varphi _ { J } ( \eta ) \right] \ = \ 0 \ ,"
1842,"{ \cal U } _ { j } = \mathrm { e x p } \, ( i F _ { j k } ^ { - 1 } \nabla _ { k } ) ."
1843,\star F = \frac { 2 } { \Phi ^ { 3 } } .
1844,"e _ { i } = \sum \varepsilon _ { r } , ~ ~ ~ \delta e _ { i } = \sum \delta \varepsilon _ { r } ,"
1845,\protect \xi _ { p } \sim \operatorname { e x p } ( \frac { 4 \pi } { 3 \alpha _ { b a r e } } ) \
1846,"c _ { 4 } \approx - \frac { 3 4 } { 2 7 } \approx - 1 . 2 6 \, ."
1847,M _ { i } = K _ { - } ( i - 1 ) L _ { i } K _ { - } ( i - 1 ) ^ { - 1 } .
1848,"\int \frac { 1 } { \omega ^ { 2 } + r ^ { 2 } } \, d \omega \, \sim 1 / r \, ."
1849,"\frac { d x ^ { \mu } } { d s } = \pm \frac { p ^ { \mu } } p ,"
1850,"\nabla _ { ( i } \xi _ { j ) a } = 0 ,"
1851,"D _ { m } h _ { a i } \to 0 \, , \qquad F _ { m n } \to 0 \, , \qquad V ( h _ { a i } ) \to 0 \, ,"
1852,"{ \operatorname* { d e t } } _ { 1 } ( R _ { 2 1 } R _ { 1 2 } ) = \kappa I _ { 1 2 } ,"
1853,H ( N ) = \widehat { H } ( N )
1854,"S = N ^ { 2 } \, f ( g _ { Y M } ^ { 2 } \, N ) \, V T ^ { 3 }"
1855,T ( g ) = e ^ { i \alpha L _ { 3 } } e ^ { i \beta L _ { 2 } } e ^ { i \gamma L _ { 3 } } .
1856,"\gamma _ { i } \equiv \Gamma ^ { \mu } \partial _ { i } X ^ { \mu } \, ."
1857,"S O ( 8 ) ^ { 4 } \times S p ( 4 ) ^ { 8 } \times U ( 4 ) ^ { 6 } \times U ( 2 ) ^ { 4 } ,"
1858,"\left( \operatorname { l n } | f _ { 5 } ^ { * } | + f _ { 5 } - f _ { 4 } \right) ^ { * } = 0 ,"
1859,"d y ^ { 1 } \dots d y ^ { n } d \eta ^ { 1 } \dots d \eta ^ { m } \equiv d y d \eta ,"
1860,H = - F + \dot { \phi _ { i } } { \frac { \delta F } { \delta \dot { \phi _ { i } } } } .
1861,"- \infty < \tau < \infty , \ 0 \leq \sigma \leq 2 \pi \ ."
1862,"C ^ { i j } \equiv - 3 \partial _ { k } \pi ^ { k i j } + \frac { M ^ { 2 } } 2 A ^ { 0 i j } = 0 ,"
1863,S = \int d ^ { d } x \sqrt { - g } \left( R - \frac { 1 } { 2 } ( \partial \phi ) ^ { 2 } \right) .
1864,\hbar = e = G = 1 ~ ~ ~ ~ ~ ~ ~ c = 1 / \alpha ~ ~ ~ ~ ~ ~ ~ M ^ { 2 } = \mu ^ { 2 } / \alpha
1865,"| q _ { n m } | = \zeta , \hspace { 5 m m } \tilde { q } _ { m n } = 0"
1866,"[ I _ { a } , Q ] = 0 \ , \ \ [ I _ { a } , \Phi _ { 0 } ] = 0 \ , \ \ a = 1 , 2 , 3 ."
1867,"a ( \Phi ) \vert 0 > = 0 \, a * ( \Phi ) \vert 0 > = \Phi"
1868,\lambda \sim \frac { \Lambda ^ { 2 } } { M _ { P } } .
1869,"\psi ( N + 1 ) \approx \operatorname { l o g } N \, ."
1870,h ( u ) = - \int d u \left( 2 q p _ { x } f ( u ) - q ^ { 2 } f ^ { 2 } ( u ) \right) .
1871,"{ \frac { \partial } { \partial x } } \left( { \frac { \Pi } { V } } \right) = 0 ,"
1872,"\mu = \left( \frac { { \cal L } } { \ell _ { P } } \right) ^ { 1 + \Upsilon } \; ,"
1873,B _ { i } = - \frac 1 N ( N - i + 2 ) ( N - i + 1 ) \tau _ { i - 2 }
1874,"\Delta W = \frac { 8 \pi ^ { 2 } } { \sqrt { 3 } } \, ."
1875,\gamma ^ { \mu } ( x ) = e _ { ( a ) } ^ { \mu } \gamma ^ { ( a ) }
1876,H _ { 0 } = \frac { 1 } { 2 m } g ^ { i j } p _ { i } p _ { j }
1877,"\frac { \delta S } { \delta X } | _ { x = c o n s t } = 0 , \; \; \Longrightarrow X = X ( x )"
1878,m ^ { 2 } < M _ { 5 } ^ { 2 } + 2 \alpha ^ { 2 }
1879,\int _ { R ^ { 5 + 1 } = \mathrm { M 5 - a n t i - M 5 } } C _ { 3 } \wedge H .
1880,\gamma _ { n } = \frac { n ^ { n - 3 } ( 2 n - 2 ) ! } { n ! }
1881,"q _ { ( 0 ) } = q _ { ( 0 ) } ^ { A } Q _ { A } = J \, ."
1882,\gamma ^ { m n } \epsilon _ { m n p q } = 2 i \gamma _ { 5 } \gamma _ { p q }
1883,i \frac { d \psi } { d t } = - \frac { 1 } { 2 } \nabla ^ { 2 } \psi
1884,"\{ \psi ( { \bf x } ) , \psi ^ { \dagger } ( { \bf y } ) \} = \delta ( { \bf x - y } ) ."
1885,E ( \alpha ) = \sum _ { n } \left( \frac { \sigma _ { n } } { 2 m } - \mu \right) ^ { 1 - \alpha }
1886,\sum _ { j = 1 } ^ { r } \alpha ( H _ { j } ) H _ { j } ~ = ~ H _ { \alpha } ~ .
1887,A B \rightarrow 1 \ a n d \ M / r \rightarrow 0 \ .
1888,"\hat { P } | \Psi \rangle = \int _ { 0 } ^ { \infty } d P P | P \rangle ,"
1889,"H _ { a } ( x ) \leftrightarrow G _ { a } ( x ) \; ,"
1890,J ( m \le 0 ) = - \sum _ { p > 0 } H ( - p ) H ( m + p )
1891,"v ( \xi ) \approx - 1 + \kappa \xi ,"
1892,"( \rho _ { \mathrm { c r } } - 1 ) ( 1 - \beta ) > 0 \, ."
1893,"[ B , P ] = i M , ~ ~ ~ ~ ~ ~ ~ ~ [ M , B ] = [ M , P ] = 0 ;"
1894,\langle p h y s ^ { \prime } | G ( x ) | p h y s \rangle = 0 .
1895,"1 \stackrel { { \cal H } } { \rightarrow } \theta ( x ) ,"
1896,"H = S O ( q + 3 ) \otimes S O ( 3 ) \otimes { \cal S } _ { q } ( P , \dot { P } ) \ ."
1897,"\Delta _ { { \ \Phi } } = { \ \Phi } \Delta { \ \Phi } ^ { - 1 } \, ,"
1898,{ \cal A } _ { b } = \delta \Pi _ { r } \partial _ { b } \hat { \Pi } _ { s } \epsilon ^ { r s }
1899,"S _ { t } ( x _ { 1 } + k _ { 1 } L _ { 1 } , x _ { 2 } + k _ { 2 } L _ { 2 } ) = S _ { t } ( x ) ,"
1900,"k _ { N + i } = k _ { N - i } , \quad i = 1 , \ldots , N , \quad k _ { 0 } \equiv 0 ."
1901,V = \frac { \omega ^ { 2 } } { 2 } \left( | { \bf x } | - r _ { 0 } \right) ^ { 2 } \ .
1902,"\gamma ^ { \mu } \epsilon _ { \mu \nu } = \gamma ^ { 5 } \gamma _ { \nu } ,"
1903,"\tilde { A } = - \tilde { d } \tilde { U } { \tilde { U } } ^ { - 1 } ,"
1904,D _ { \nu } E _ { \mu } { } ^ { \nu } = k _ { 5 } ^ { 4 } D _ { \nu } S _ { \mu } { } ^ { \nu } .
1905,[ \omega ( c ) ] _ { q u } \sim \operatorname { e x p } ( - \alpha P )
1906,"\delta _ { \tilde { \epsilon } } u = [ { \tilde { \epsilon } } { \tilde { Q } } , u ] \ ,"
1907,"\Lambda = \frac { k p } { 4 } \, { \cal G } ^ { p + 1 }"
1908,"\{ G , \phi _ { \mu _ { 0 } } \} = s c + p c ,"
1909,\mu = 6 n M \operatorname { l n } \frac { 4 \pi } { n a ^ { 2 } M ^ { 2 } }
1910,"D _ { M } T ^ { M N } = J ^ { M } F _ { \quad M } ^ { N } + J D ^ { N } \Phi ~ ,"
1911,\partial _ { n } G _ { N } | _ { P \in { \cal B } } = 0 ~ ~ .
1912,\phi ( t ) : \mathrm { S } ^ { 2 } \longrightarrow \mathrm { S } ^ { 2 }
1913,"\partial _ { a } J _ { \mu \nu } ^ { a } = 0 \, ,"
1914,< { \cal G } _ { 1 } - { \cal G } _ { 2 } + { \cal G } _ { 3 } - { \cal G } _ { 4 } > = 0 .
1915,"h _ { \Delta } ( x _ { 2 } ) \, = \, \mathrm { t a n h } ( \frac { x _ { 2 } } { \Delta } )"
1916,"\omega _ { i a } = v _ { i a } - k _ { a } ^ { k } b _ { i k } ,"
1917,"b ( n , k ) = [ ( k + 1 ) ( s - k ) ( q _ { 2 } + k - 1 ) ] / ( q _ { 2 } + n + k - 1 )"
1918,"\tilde { \Omega } _ { i } = \Omega _ { i } + \sqrt { \kappa } \Phi ^ { i } ,"
1919,( \partial _ { t } + \imath \Omega ) \langle \psi ( t ) \! \mid = 0 \hspace { 1 . 2 c m } t > 0 .
1920,"L _ { 6 } ^ { n e w } = \frac { ( l _ { s } ^ { n e w } ) ^ { 2 } } { R _ { 1 1 } } = L _ { 6 } ,"
1921,\delta ^ { m n } \partial _ { m } \partial _ { n } e ^ { - C } = 0
1922,"\tilde { T } _ { a } = \tilde { T } _ { a } ( q , p ; \eta ) \, ,"
1923,q = - \hat { m } \ \mathrm { o r \ i f } \ y = \frac { 1 } { 2 } ( q - \hat { m } )
1924,G ^ { - 2 } ( k ) = \frac { k ^ { 4 } } { k ^ { 2 } + m ^ { 2 } }
1925,"f = 1 + \frac { 2 m \operatorname { s i n h } ^ { 2 } \alpha } { \Delta r ^ { 3 } } \ ,"
1926,"Q = ( y , z ) = p ^ { 2 } y ( 1 - y ) + q ^ { 2 } z ( 1 - z ) - m ^ { 2 } + 2 \, p . q \, y z ."
1927,{ P } _ { I } ^ { x } = k _ { I } ^ { u } \omega _ { u } ^ { x } \ .
1928,"\rho ( \mu ) = \frac { 1 } { \pi } \mathrm { I m } \int R ( \lambda ) d \lambda ,"
1929,D ^ { ( k ) } ( k ) \oplus 2 D ^ { ( k - 1 / 2 ) } ( k + 1 / 2 ) \oplus D ^ { ( k - 1 ) } ( k + 1 )
1930,\psi \psi ^ { \dagger } = \pm | \xi | ^ { 2 } P
1931,"\Delta _ { k } { \omega _ { D } } ^ { ( k ) } = 0 ,"
1932,"x ^ { a } \to - i x ^ { a } , A _ { a } \to i A _ { a } \hspace { 5 m m } ( a = 1 , 2 ) ."
1933,"X _ { a } = \frac { 2 r } { N } J _ { a } , \; \; \; \; \; a \in \{ 1 , 2 , 3 \} ."
1934,"p ^ { 4 } = q ^ { 4 } = 1 , \quad \quad p ^ { 2 } = q ^ { 2 } , \quad \quad q p = p ^ { 3 } q ~ ."
1935,\mu _ { u } - \mu _ { d } = \mu _ { \nu } - \mu _ { e } = - \mu _ { W } = M _ { W } \ .
1936,"\Pi [ \theta , p ] = \sum _ { i } B _ { i } ( \theta , p ) F _ { i } ( p ) ."
1937,m _ { i } = q + \lambda _ { i } - \beta { \frac { 2 i - 1 } { 2 } } .
1938,"\zeta _ { \mathrm { r } } = \zeta _ { * } \, ."
1939,F = \varepsilon u d x \wedge d z + \varepsilon p d y \wedge d z +
1940,I _ { C S } = \frac { 1 } { 8 \pi ^ { 2 } } \int A \wedge F
1941,"\operatorname* { d e t } ( t - v \cdot H ) = \prod _ { k = 1 } ^ { 2 4 8 } ( t - v _ { k } ) ,"
1942,\sigma _ { i } \sigma _ { j } = \delta _ { i j } + i \epsilon _ { i j k } \sigma _ { k }
1943,"\hat { H } = \hat { H } _ { 0 } + \hat { V } \; ,"
1944,\delta _ { i } A = \partial _ { i } A - \partial _ { \mu } \partial _ { i } ^ { \mu } A .
1945,"[ ( e _ { i } , x _ { i } ) ] = c _ { i } \; \; \; , \; \; \; i = 1 , . . . , 4 ."
1946,"\phi ( f ) \doteq \int \! d x \, f ( x ) \phi ( x ) ,"
1947,\phi ^ { s t a t . } ( y ) = \phi ^ { e . i . } ( y ) - \phi ^ { e . i . } ( y - x )
1948,n - 1 \sim - \frac { 2 } { N } \left( \frac { m + 1 } { m + 2 } \right)
1949,"K _ { u } = { \tilde { t } } _ { 1 } h _ { 1 } + { \tilde { t } } _ { 1 } h _ { 2 } \, \, \, ."
1950,"L ( X , \theta ) = L _ { 0 } ( X ) + \tilde { L } ( X , \theta ) \,"
1951,"\partial _ { \sigma } X ^ { \mu } ( \sigma _ { m a x } , \tau ) = 0"
1952,\tau = \hbar \beta \left( \Omega + \frac { i } { l } \right) .
1953,S = S _ { a } = 4 \pi \ ( M ^ { 2 } - { \frac { 1 } { 2 } } M _ { e x t r } ^ { 2 } ) \ .
1954,E _ { x } = \frac { 1 } { i } \frac { \delta } { \delta A _ { x } } \ .
1955,A _ { 3 } ^ { - 2 } = c ^ { * } \qquad \qquad A _ { 2 } ^ { - 1 } = A ^ { * }
1956,"2 4 \geq s , \qquad 1 2 r + 2 4 \geq e ,"
1957,\left( \Omega { \cal R } h \right) ^ { 2 } = g
1958,F \equiv E _ { c } - \beta ^ { - 1 } \sum _ { L > 1 } g _ { L } \operatorname { l n } Z _ { L } .
1959,\varphi \equiv \Phi - 3 \alpha
1960,+ t _ { 2 } e _ { 1 } r _ { 2 } + t _ { 2 } 2 e _ { 2 } r _ { 3 } + t _ { 2 } e _ { 3 } r _ { 4 }
1961,K _ { - { \frac { 1 } { 2 } } } ( z ) = \sqrt { \frac { \pi } { 2 z } } e ^ { - z }
1962,"\Delta = { \frac { 4 } { n } } \, ,"
1963,\delta { \cal S } _ { \pm } = J _ { a } ^ { ( \pm ) } \eta _ { a }
1964,"R _ { \mu } = R _ { \mu } \left( z , t \right) ."
1965,"\varpi = \sum _ { z } \tilde { \varpi } ( z ) e ^ { i p \cdot z } ,"
1966,S _ { C S } [ A ] \to S _ { C S } [ A ^ { g } ] = S _ { C S } [ A ] + 8 \pi ^ { 2 } i w [ g ]
1967,z = e ^ { - \frac 1 { 4 g ^ { 2 } } D ( 0 ) } \ .
1968,C ^ { ( p + 1 ) } \rightarrow e ^ { \Phi } C ^ { ( p + 1 ) } \ .
1969,\Psi _ { \pm } = \frac { 1 } { 2 } \left( 1 \pm G _ { 9 } \right) \Theta
1970,"{ \bf B } = B _ { 0 } \, \mathrm { s e c h } ^ { 2 } ( x / L ) \; { \hat { \bf z } } ,"
1971,\omega = 2 \delta \operatorname { l n } \lambda \delta p \; .
1972,T r Q _ { a } Q _ { b } = \delta _ { a b } - \frac { 1 } { N } .
1973,A ( t _ { 0 } ) = 3 \frac { ( \alpha - \beta ) } { \alpha + 2 \beta }
1974,t ( 1 - t ) G _ { t t } + ( 1 - 2 t ) G _ { t } - m ^ { 2 } R ^ { 2 } G = 0
1975,"F ( x , y ) = \sum _ { i , j = 1 } ^ { \infty } f _ { i j } x ^ { i } y ^ { j } \ ."
1976,"\omega = 2 h _ { - } + \ell + 2 n ; \ \ \ \ \ n = 0 , 1 , \ldots \nu - 1 \ ."
1977,"\rho ^ { ( p ) } = \sqrt { - \mathrm { d e t } ( G + { \cal F } ) } \gamma ^ { ( p ) } ,"
1978,"u _ { l , \nu } ^ { ( > ) } ( r ) \propto \sqrt { r } \, K _ { s _ { l } } ( \kappa r ) \;"
1979,"B ( 1 - z , 1 - w ) \equiv \int _ { 0 } ^ { 1 } d y \frac { 1 } { y ^ { z } ( 1 - y ) ^ { w } }"
1980,"Z \equiv s R = { \frac { 1 } { 2 } } ( N _ { a } - N _ { b } ) \, ."
1981,"\partial _ { \mu } \mid i \rightarrow \partial _ { \mu } \mid i - e A _ { \mu } ~ ,"
1982,"\{ J ( q ) , p { \frac { 1 } { \partial J ( q ) / \partial q } } \} = 1 ."
1983,"6 \, y ( u ) ^ { 3 } \, + 6 \, x ( u ) \, y ( u ) ^ { 2 } - 2 4 \, y ( u ) \, z ( u ) ^ { 2 }"
1984,\Gamma \sim e ^ { - \frac { 1 5 \pi ^ { 4 } \mu R } { 1 1 2 G _ { 1 0 } } }
1985,\Delta ^ { \pm } = \displaystyle \frac { p _ { \pm } ^ { 2 } } { 2 } .
1986,"A _ { A } = A ^ { B } C _ { B A } \, , \qquad A ^ { A } = C ^ { A B } A _ { B } \, ,"
1987,"\lambda \to \frac { t } { l } \quad , \quad \mu \to \frac { r } { l } \quad , \quad l \to \infty"
1988,r ^ { * } \simeq - { \frac { 1 } { 2 \sqrt 2 ( 1 - e ^ { - 2 \sqrt 2 r } ) } } .
1989,K ^ { 2 } \int _ { 0 } ^ { \infty } M ^ { 2 } ( x ) { \cal L } ( x ) d x .
1990,K ( x ) : = A ( x ) \cdot B ( x )
1991,"\partial _ { \mu } \alpha = \frac { 2 } { \alpha _ { j ^ { 5 } } } \, j _ { \mu } ^ { 5 } \ ."
1992,"\tilde { Q } _ { 1 1 } = \tilde { Q } _ { 1 2 } = 0 , \quad \tilde { Q } _ { 2 2 } = H ,"
1993,"E _ { C } \le E _ { B H } \le E , \qquad S _ { C } \le S \le S _ { B } ,"
1994,\frac { \partial x ( l ) } { \partial l } = 4 \pi ^ { 2 } \tilde { f } ( d ) K ( l ) .
1995,\frac { E _ { { \mathrm B P S } } } L = T _ { 2 } ^ { ( A ) } + 4 T _ { 1 } ^ { ( I ) } R .
1996,"V _ { - 1 , m / 2 } = : \operatorname { e x p } [ - i \sqrt { m } \varphi _ { + } ( x ) ]"
1997,"h _ { 0 , p + 1 } = [ B ( L ) , h _ { 0 p } ] + \left( C ( L ) - p ) \right) h _ { 0 p }"
1998,\beta _ { \tau } = \frac { 4 \pi } { n - 2 } { \mu } ^ { \frac { 1 } { n - 2 } } .
1999,"\xi = \{ \xi ( s ) , s = 0 \rightarrow 2 \pi , \xi ( 0 ) = \xi ( 2 \pi ) = P _ { 0 } \} ."
2000,"M = \int _ { \mathcal { B } } d ^ { 2 } \phi \sqrt { \sigma } T _ { a b } u ^ { a } \xi ^ { b } ,"
2001,D _ { \mu } ^ { a b } \partial ^ { \mu } A _ { 0 } ^ { b } = \partial ^ { k } E _ { k } ^ { a }
2002,"x ^ { \mu } * x ^ { \nu } - x ^ { \nu } * x ^ { \mu } = - i C ^ { \mu \nu } \, ."
2003,z \sim e ^ { - \frac { \pi } 2 \frac 1 { g ^ { 2 } a } }
2004,\delta _ { W } g _ { ( 2 ) i j } = l ^ { 2 } D _ { i } \partial _ { j } \delta \sigma .
2005,"2 \beta q = \oint j ^ { \frac { 1 } { 2 } ( T _ { 2 } - T _ { 3 } ) } = 2 \oint j \, ."
2006,= \int d p d \lambda \delta ( - \mu - H ) = \oint _ { F e r m i s u r f a c e } .
2007,"M _ { \lambda , \mu } ( z ) \rightarrow z ^ { \mu + \frac 1 2 }"
2008,\nabla _ { i } Z = 0 \rightarrow \partial _ { i } \vert Z \vert ^ { 2 } = 0 .
2009,i \Delta _ { m } \ell + { \frac { 2 } { 3 } } \ell b _ { m } - B _ { m }
2010,Y _ { I J K } = e ^ { K _ { \mathrm { m o d } } / 2 } \tilde { Y } _ { I J K } \; .
2011,"V _ { \pm } = \omega ^ { 2 } ( x ) \pm \hbar \frac { d } { d x } \omega ( x ) ,"
2012,S = { \frac { A } { 4 } } = \pi | Z _ { \mathrm { f i x } } | ^ { 2 } = \pi | p q | \ .
2013,\Delta _ { m n } ( t ) : = ( \delta _ { m n } - 1 ) A _ { m n } ( t ) \; .
2014,r _ { \pm } = M \pm \sqrt { M ^ { 2 } - Q ^ { 2 } }
2015,\tilde { t } _ { n } = \frac { 1 } { n } \sum _ { i } \frac { 1 } { \eta _ { i } ^ { n } }
2016,"{ \nabla } ^ { 4 } \, \varphi _ { 0 } = 0 \, , \, \, \, { \nabla } ^ { 4 } \, \psi _ { 0 } = 0 \, ."
2017,\dot { p } _ { a } + \epsilon _ { a } ^ { b } p _ { b } \omega _ { \mu } \dot { x } I \mu = 0
2018,"\mathcal { L } = \mathcal { H } \otimes \mathcal { K } ,"
2019,e ^ { \mu } { } _ { a } = \Omega ^ { k } { } _ { a } e ^ { \mu } { } _ { k }
2020,\Delta _ { \pm } = 2 \pm \sqrt { 4 + M ^ { 2 } L ^ { 2 } }
2021,\frac { C _ { \cal G } } { C _ { R } } < \frac { 4 } { 3 } N _ { f }
2022,\Gamma ( z ) \Gamma ( z + \frac 1 2 ) = \sqrt { \pi } \Gamma ( 2 z ) 2 ^ { 1 - 2 z } .
2023,"{ \bf w } = w ^ { i } { \bf e } _ { i } \in \Lambda , \; \; i = , \dots , d"
2024,S _ { 0 } = \sum _ { i } { \frac { 1 } { 2 \sigma _ { i } ^ { 2 } } } \phi _ { i } ^ { 2 }
2025,\ddot { \varphi } - m ^ { 2 } \varphi + \lambda \varphi ^ { 3 } = 0 .
2026,"\{ f , g \} ^ { \prime } = { \frac { f \star g - g \star f } { \kappa } }"
